Date,Month,All,Other,Ukraine
2022 April 03,April,18304,560,17744
2022 April 10,April,22094,615,21479
2022 April 17,April,24109,646,23463
2022 April 24,April,26383,691,25692
2022 August 07,August,47977,926,47051
2022 August 14,August,49036,940,48096
2022 August 21,August,49817,948,48869
2022 August 28,August,50647,959,49688
2022 February 27,February,358,77,281
2022 July 03,July,41852,889,40963
2022 July 10,July,43289,897,42392
2022 July 17,July,44688,905,43783
2022 July 24,July,45844,912,44932
2022 July 31,July,47140,919,46221
2022 June 05,June,35715,819,34896
2022 June 12,June,37385,834,36551
2022 June 19,June,38730,851,37879
2022 June 26,June,40317,869,39448
2022 March 06,March,382,77,305
2022 March 13,March,3482,118,3364
2022 March 20,March,8033,264,7769
2022 March 27,March,12257,443,11814
2022 May 01,May,27870,709,27161
2022 May 08,May,29886,744,29142
2022 May 15,May,31611,760,30851
2022 May 22,May,33211,784,32427
2022 May 29,May,34416,801,33615
2022 November 06,November,62425,1039,61386
2022 October 02,October,55939,994,54945
2022 October 09,October,57223,998,56225
2022 October 16,October,58448,1011,57437
2022 October 23,October,60049,1026,59023
2022 October 30,October,61296,1034,60262
2022 September 04,September,51596,966,50630
2022 September 11,September,52637,976,51661
2022 September 18,September,53730,985,52745
2022 September 25,September,54795,991,53804